1881	36	4
1613	37	4
1475	38	4
1469	39	4
1719	40	4
1900	41	4
325	42	4
94	43	4
2013	44	4
2169	45	4
2319	46	4
2169	47	4
1675	48	4
1481	1	5
1356	2	5
1212	3	5
1169	4	5
931	5	5
806	6	5
563	7	5
456	8	5
106	9	5
69	10	5
287	11	5
431	12	5
306	13	5
75	14	5
50	15	5
181	16	5
225	17	5
300	18	5
306	19	5
575	20	5
706	21	5
919	22	5
362	23	5
1337	24	5
1425	25	5
1075	26	5
100	27	5
63	28	5
87	29	5
75	30	5
275	31	5
569	32	5
525	33	5
331	34	5
69	35	5
125	36	5
188	37	5
150	38	5
594	39	5
806	40	5
1087	41	5
594	42	5
188	43	5
456	44	5
338	45	5
212	46	5
325	47	5
244	48	5
131	1	6
119	2	6
50	3	6
56	4	6
313	5	6
394	6	6
119	7	6
44	8	6
56	9	6
31	10	6
56	11	6
25	12	6
56	13	6
263	14	6
319	15	6
306	16	6
219	17	6
313	18	6
494	19	6
56	20	6
131	21	6
56	22	6
50	23	6
56	24	6
94	25	6
388	26	6
356	27	6
325	28	6
438	29	6
150	30	6
169	31	6
1025	32	6
588	33	6
206	34	6
144	35	6
331	36	6
506	37	6
500	38	6
1575	39	6
1138	40	6
494	41	6
431	42	6
338	43	6
188	44	6
206	45	6
113	46	6
69	47	6
362	48	6
194	1	7
119	2	7
150	3	7
50	4	7
75	5	7
75	6	7
56	7	7
81	8	7
50	9	7
75	10	7
69	11	7
237	12	7
156	13	7
63	14	7
256	15	7
325	16	7
219	17	7
144	18	7
125	19	7
188	20	7
150	21	7
131	22	7
194	23	7
131	24	7
125	25	7
100	26	7
119	27	7
188	28	7
150	29	7
106	30	7
100	31	7
481	32	7
656	33	7
1938	34	7
1556	35	7
762	36	7
481	37	7
1381	38	7
1813	39	7
1794	40	7
813	41	7
813	42	7
1625	43	7
794	44	7
512	45	7
506	46	7
425	47	7
287	48	7
256	1	8
250	2	8
219	3	8
56	4	8
75	5	8
63	6	8
56	7	8
75	8	8
63	9	8
56	10	8
75	11	8
212	12	8
150	13	8
75	14	8
237	15	8
319	16	8
119	17	8
100	18	8
206	19	8
150	20	8
163	21	8
156	22	8
244	23	8
231	24	8
125	25	8
200	26	8
75	27	8
87	28	8
94	29	8
87	30	8
87	31	8
75	32	8
194	33	8
231	34	8
250	35	8
631	36	8
250	37	8
275	38	8
313	39	8
306	40	8
388	41	8
269	42	8
206	43	8
138	44	8
138	45	8
100	46	8
100	47	8
87	48	8
56	1	9
75	2	9
81	3	9
44	4	9
63	5	9
50	6	9
56	7	9
63	8	9
37	9	9
69	10	9
37	11	9
263	12	9
200	13	9
63	14	9
169	15	9
331	16	9
156	17	9
125	18	9
150	19	9
125	20	9
169	21	9
163	22	9
500	23	9
487	24	9
300	25	9
237	26	9
188	27	9
200	28	9
175	29	9
206	30	9
181	31	9
200	32	9
150	33	9
100	34	9
575	35	9
338	36	9
338	37	9
194	38	9
269	39	9
594	40	9
263	41	9
425	42	9
344	43	9
306	44	9
319	45	9
206	46	9
175	47	9
63	48	9
56	1	10
44	2	10
50	3	10
37	4	10
50	5	10
37	6	10
44	7	10
44	8	10
44	9	10
37	10	10
44	11	10
300	12	10
125	13	10
25	14	10
194	15	10
300	16	10
244	17	10
125	18	10
269	19	10
156	20	10
188	21	10
87	22	10
113	23	10
781	24	10
431	25	10
163	26	10
131	27	10
156	28	10
1206	29	10
1050	30	10
106	31	10
263	32	10
269	33	10
456	34	10
494	35	10
444	36	10
613	37	10
675	38	10
313	39	10
287	40	10
494	41	10
394	42	10
212	43	10
181	44	10
119	45	10
125	46	10
138	47	10
75	48	10
69	1	11
63	2	11
56	3	11
69	4	11
